Origem,Destino,Data,Tipo de assento,Preco,Mensagem_rota_indisp,Timestamp_Scraped
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,SEMILEITO PREMIUM,""R$159,11"",,2024-10-23 18:25:47"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,CAMA,""R$287,59"",,2024-10-23 18:25:47"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,SEMILEITO PREMIUM,""R$154,14"",,2024-10-23 18:25:47"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,CAMA,""R$328,39"",,2024-10-23 18:25:47"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,CAMA,""R$298,54"",,2024-10-23 18:25:47"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,CONV. DD,""R$139,44"",,2024-10-23 18:25:47"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,EXECUTIVO,""R$149,17"",,2024-10-23 18:25:47"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,EXECUTIVO,""R$149,17"",,2024-10-23 18:25:47"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,SEMILEITO PREMIUM,""R$184,11"",,2024-10-23 18:25:47"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,CAMA,""R$442,19"",,2024-10-23 18:25:47"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,SEMILEITO PREMIUM,""R$164,21"",,2024-10-23 18:25:47"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,CAMA,""R$408,29"",,2024-10-23 18:25:47"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,CAMA,""R$423,29"",,2024-10-23 18:25:47"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,SEMILEITO PREMIUM,""R$179,14"",,2024-10-23 18:25:47"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,EXECUTIVO,""R$149,17"",,2024-10-23 18:25:47"
